ModuleCode,ClassNo,LessonType,DayCode,DayText,StartTime,EndTime,Venue,AcadYear,Semester
GEK1534,1,LECTURE,3,Wednesday,1400,1600,MD4-03SR,2013/2014,1
GEK1534,1,TUTORIAL,5,Friday,1400,1600,MD4-03SR,2013/2014,1
NUR4101,1,LECTURE,3,Wednesday,1400,1600,MD6-0101A,2013/2014,1
NUR1104,2,TUTORIAL,3,Wednesday,1500,1600,MD6-0201D,2013/2014,1
NUR2114,2,TUTORIAL,3,Wednesday,1600,1800,MD6-0201D,2013/2014,1
NUR1117,3,TUTORIAL,4,Thursday,1000,1200,MD6-0201H,2013/2014,1
NUR1114,1,TUTORIAL,2,Tuesday,800,1000,MD6-0202A,2013/2014,1
UWC2101S,1,SEMINAR-STYLE MODULE CLASS,1,Monday,1000,1200,MLounge,2013/2014,1
UWC2101S,2,SEMINAR-STYLE MODULE CLASS,1,Monday,1400,1600,MLounge,2013/2014,1
PP5801,L1,LECTURE,1,Monday,900,1200,MMSR2-1,2013/2014,1
PP5224,L1,LECTURE,6,Saturday,900,1200,MMSR2-1,2013/2014,1
PP5232,L1,LECTURE,5,Friday,900,1200,MMSR2-3,2013/2014,1
GEM2903,6,SEMINAR-STYLE MODULE CLASS,5,Friday,1600,1800,NAK-AUD,2013/2014,1
GSN6502,1,LECTURE,3,Wednesday,900,1200,NGS-MPR,2013/2014,1
GSN6503,1,LECTURE,5,Friday,900,1200,NGS-MPR,2013/2014,1
NUR4102,1,LECTURE,6,Saturday,800,900,NUR-S4A,2013/2014,1
EE2022,B3,LABORATORY,4,Thursday,1400,1700,POWERLAB,2013/2014,1
EE2022,B4,LABORATORY,5,Friday,1400,1700,POWERLAB,2013/2014,1
EE3032,B1,LABORATORY,2,Tuesday,1400,1700,ProjLab,2013/2014,1
EE3032,B2,LABORATORY,3,Wednesday,1400,1700,ProjLab,2013/2014,1
EE3032,B3,LABORATORY,4,Thursday,1400,1700,ProjLab,2013/2014,1
FE5112D,SL1,LECTURE,1,Monday,900,1200,RMI-SR1,2013/2014,1
FE5112,SL1,LECTURE,1,Monday,1900,2200,RMI-SR1,2013/2014,1
IS4250,1,LECTURE,3,Wednesday,900,1200,RMI-SR1,2013/2014,1
FE5209D,SL1,LECTURE,3,Wednesday,1400,1700,RMI-SR1,2013/2014,1
FE5211,SL1,LECTURE,3,Wednesday,1900,2200,RMI-SR1,2013/2014,1
FE5209,SL1,LECTURE,4,Thursday,1900,2200,RMI-SR1,2013/2014,1
FE5101D,SL1,LECTURE,5,Friday,900,1200,RMI-SR1,2013/2014,1
FE5210,SL1,LECTURE,5,Friday,1900,2200,RMI-SR1,2013/2014,1
MUT1121,1,LECTURE,1,Monday,900,1000,RS,2013/2014,1
MUT4203,1,LECTURE,3,Wednesday,1600,1800,RS,2013/2014,1
GEK2508,ST1,TUTORIAL,1,Monday,1400,1500,S11-0301,2013/2014,1
GEK2508,ST2,TUTORIAL,1,Monday,1500,1600,S11-0301,2013/2014,1
GEK2508,ST3,TUTORIAL,1,Monday,1600,1700,S11-0301,2013/2014,1
PC1325,E11,TUTORIAL,2,Tuesday,900,1000,S11-0301,2013/2014,1
PC1325,E12,TUTORIAL,2,Tuesday,1000,1100,S11-0301,2013/2014,1
PC1325,E13,TUTORIAL,2,Tuesday,1100,1200,S11-0301,2013/2014,1
PC1322,U15,TUTORIAL,3,Wednesday,1000,1100,S11-0301,2013/2014,1
PC1142,T1B,TUTORIAL,3,Wednesday,1100,1200,S11-0301,2013/2014,1
PC1142,T2B,TUTORIAL,3,Wednesday,1200,1300,S11-0301,2013/2014,1
PC1221,T7,TUTORIAL,3,Wednesday,1500,1600,S11-0301,2013/2014,1
PC1142,T3B,TUTORIAL,4,Thursday,1200,1300,S11-0301,2013/2014,1
PC1142,T4B,TUTORIAL,4,Thursday,1300,1400,S11-0301,2013/2014,1
